0	1461.58
1	3481.37
2	1465.30
3	3347.97
4	1455.73
5	3466.35
6	1453.16
7	3352.16
8	1447.32
9	3445.92
10	1448.65
11	3319.34
12	1444.24
13	3434.71
14	1442.63
15	3361.11
16	1438.38
17	3419.01
18	1437.62
19	3293.05
20	1432.97
21	3407.64
22	1428.03
23	3277.40
24	1424.60
25	3394.33
26	1421.60
27	3268.41
28	1419.32
29	3380.70
30	1418.03
31	3251.56
32	1416.30
33	3364.87
34	1414.04
35	3242.67
36	1409.34
37	3353.95
38	1408.08
39	3282.66
40	1411.28
41	3338.18
42	1400.03
43	3215.88
44	1396.42
45	3327.14
46	1396.23
47	3197.79
48	1392.58
49	3311.00
50	1389.94
51	3188.71
52	1390.95
53	3300.27
54	1385.26
55	3171.94
56	1381.05
57	3285.19
58	1377.64
59	3163.20
60	1377.19
61	3275.19
62	1372.39
63	3145.81
64	1371.03
