0	661.58
1	210035.63
2	210107.59
3	210120.79
4	673.42
5	210021.70
6	210118.56
7	210113.30
8	662.79
9	208480.66
10	208465.00
11	208467.93
12	665.38
13	208441.78
14	208446.74
15	208444.78
16	661.00
17	206835.16
18	206795.83
19	206796.23
20	657.92
21	206800.17
22	206783.15
23	206805.64
24	651.17
25	205168.86
26	205168.08
27	205157.50
28	659.00
29	205130.47
30	205136.26
31	205148.43
32	643.79
33	203525.52
34	203501.00
35	203488.40
36	651.94
37	203485.47
38	203480.26
39	203493.24
40	650.00
41	201867.40
42	201844.26
43	201840.80
44	647.00
45	201827.69
46	201818.31
47	201817.10
48	637.96
49	200225.61
50	200184.95
51	200186.84
52	642.25
53	200176.68
54	200172.93
55	200179.16
56	632.12
57	198551.48
58	198530.07
59	198525.45
60	634.77
61	198512.74
62	198524.93
63	198504.24
64	626.24
