0	745.39
1	2223.28
2	2202.47
3	2211.47
4	739.59
5	2191.81
6	2228.90
7	2183.42
8	737.25
9	2200.52
10	2186.11
11	2218.33
12	733.72
13	2171.87
14	2211.97
15	2179.34
16	733.16
17	2182.98
18	2163.61
19	2165.16
20	725.54
21	2154.69
22	2178.02
23	2151.04
24	727.44
25	2165.12
26	2144.29
27	2154.09
28	721.74
29	2137.98
30	2136.12
31	2133.66
32	719.30
33	2149.05
34	2127.07
35	2168.78
36	715.82
37	2118.94
38	2159.91
39	2115.19
40	718.83
41	2134.54
42	2110.24
43	2107.10
44	712.82
45	2102.41
46	2143.03
47	2099.15
48	708.24
49	2114.28
50	2094.19
51	2090.28
52	706.85
53	2087.05
54	2124.19
55	2081.22
56	705.20
57	2098.64
58	2077.19
59	2115.09
60	697.50
61	2069.59
62	2108.00
63	2063.68
64	696.36
